,Job Title,Company,Location,Salary
901,"Java Fullstack Developer (Work Location: Waukesha, WI)",Capgemini,"Chicago, IL","$75,000 - $107,000 a year (Indeed est.)"
903,"Software Engineer, Java/Full-Stack",AllianceData,"Chicago, IL","$95,000 - $136,000 a year (Indeed est.)"
904,"Staff Software Engineer, Data",Snapsheet,"Chicago, IL 60602 (Loop area)","$93,000 - $139,000 a year (Indeed est.)"
905,Java Developer (Exp 5-8 years),Wipro,"Chicago, IL","$60,000 - $80,000 a year"
908,Software Engineer/Architect,Complete Information Solutions,"Lake Forest, IL","$114,000 - $160,000 a year (Indeed est.)"
909,Technical Engineer/Developer,UTG Tech,"North Chicago, IL",$60 - $65 an hour
912,Structural Engineering Software Developer,Structurepoint,"Skokie, IL 60077","$67,000 - $101,000 a year (Indeed est.)"
914,Graphics Software Engineer,Wargaming CIS,"Chicago, IL","$80,000 - $120,000 a year (Indeed est.)"
918,"Software Engineer - Java, JavaScript, React & jQuery",Community Brands,"Lombard, IL","$81,000 - $121,000 a year (Indeed est.)"
920,Sr Developer - JAVA,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL","$86,000 - $114,000 a year (Indeed est.)"
921,Full-Stack Engineer,Reverb,"Chicago, IL","$91,000 - $129,000 a year (Indeed est.)"
923,Senior Software Engineer-Payment Engineering,Groupon,"Chicago, IL 60654 (Loop area)","$91,000 - $122,000 a year (Indeed est.)"
924,Sr. Software Developer(Applications),Verudix,"Oak Brook, IL","$101,000 - $135,000 a year (Indeed est.)"
925,Java Developer,"Capsim Management Simulations, Inc","Chicago, IL 60603 (Loop area)","$69,000 - $100,000 a year (Indeed est.)"
926,Full Stack Developer - Data Innovation and Analytics Lab,Shirley Ryan Ability Lab,"Chicago, IL 60611 (Near North Side area)","$105,000 - $150,000 a year (Indeed est.)"
927,Java API Developer,InterSources Inc.,"Naperville, IL","$71,000 - $102,000 a year (Indeed est.)"
929,Software Engineer - Chicago,NVISIA,"Chicago, IL 60606 (Loop area)","$76,000 - $114,000 a year (Indeed est.)"
930,Senior Software Engineer - Back End,Lumere,"Chicago, IL","$118,000 - $159,000 a year (Indeed est.)"
931,Java Engineer,Experian,"Schaumburg, IL","$80,000 - $115,000 a year (Indeed est.)"
933,Software Engineer (Embedded Systems),BijjamIT,"Chicago, IL","$92,000 - $138,000 a year (Indeed est.)"
934,Java Engineer - Machine Learning,Productive Edge,"Chicago, IL 60611 (Near North Side area)","$106,000 - $153,000 a year (Indeed est.)"
937,Software Engineering Manager,Enterprise Peak,"Chicago, IL","$116,000 - $166,000 a year (Indeed est.)"
938,Security Engineer 2,Nordstrom,"Chicago, IL 60602 (Loop area)","$87,000 - $128,000 a year (Indeed est.)"
939,Senior Software Engineer,M1 Finance,"Chicago, IL 60610 (Near North Side area)","$107,000 - $144,000 a year (Indeed est.)"
940,Data Scientist,The University of Chicago,"Chicago, IL","$64,000 - $94,000 a year (Indeed est.)"
941,Life Fitness - Sr Software Quality Engineer,Brunswick Corporation,"Franklin Park, IL","$75,000 - $111,000 a year (Indeed est.)"
951,Tech Apprentice,Conversant Media,"Chicago, IL",$25 - $35 an hour (Indeed est.)
954,Java Developer,omega solutions inc,"Chicago, IL 60602 (Loop area)","$89,000 - $128,000 a year (Indeed est.)"
