,Job Title,Company,Location,Salary
703,Software Engineer (Build Engineer) (NTD),Nintendo of America Inc.,"Redmond, WA 98052","$78,000 - $117,000 a year (Indeed est.)"
704,Software Developer,Pactera,"Redmond, WA","$71,000 - $106,000 a year (Indeed est.)"
705,Software Engineer- Data Processing,DocuSign,"Seattle, WA 98101 (Downtown area)","$114,000 - $171,000 a year (Indeed est.)"
707,"Software Engineer, Engineering Insights",Qualtrics,"Seattle, WA","$99,000 - $149,000 a year (Indeed est.)"
708,"Software Engineer, Ads Ranking",Facebook,"Seattle, WA 98101 (Downtown area)","$107,000 - $160,000 a year (Indeed est.)"
711,Java Full Stack Developer,InterSources Inc.,"Seattle, WA","$84,000 - $120,000 a year (Indeed est.)"
713,Software Engineer / Real-Time Media Experience (Teams and Sk...,Microsoft,"Redmond, WA","$81,000 - $122,000 a year (Indeed est.)"
716,Digital Health - Full Stack Developer,Seattle Cancer Care Alliance,"Seattle, WA","$98,000 - $140,000 a year (Indeed est.)"
717,Game Development Engineer,Zhurosoft,"Seattle, WA","$79,000 - $118,000 a year (Indeed est.)"
719,Software Development Engineer – Computational Marketing,Groupon,"Seattle, WA 98101 (Downtown area)","$101,000 - $151,000 a year (Indeed est.)"
721,AI and Analytics Research Software Engineer,"JAMY INTERACTIVE, INC","Seattle, WA","$93,000 - $140,000 a year (Indeed est.)"
723,Full Stack Developer,Finagraph,"Bellevue, WA","$95,000 - $136,000 a year (Indeed est.)"
724,Senior Software Engineer,Infoblox,"Seattle, WA","$115,000 - $154,000 a year (Indeed est.)"
728,Java developer,PeopleTech Group,"Seattle, WA","$88,000 - $127,000 a year (Indeed est.)"
732,Software Engineer,Navigating Cancer,"Seattle, WA 98104","$97,000 - $145,000 a year (Indeed est.)"
742,Java Backend Developer,Level 11,"Seattle, WA 98101 (Downtown area)","$83,000 - $125,000 a year (Indeed est.)"
743,Software Engineer - Frontend,Convoy,"Seattle, WA","$106,000 - $159,000 a year (Indeed est.)"
746,Software Development Engineer (Systems),Axiom,"Bellevue, WA","$102,000 - $154,000 a year (Indeed est.)"
748,Front End Developer,BitTitan,"Bellevue, WA","$98,000 - $144,000 a year (Indeed est.)"
751,Senior Software Engineer - HR Technology,Nordstrom,"Seattle, WA","$113,000 - $152,000 a year (Indeed est.)"
753,"Software Engineer, UI",Amperity,"Seattle, WA","$100,000 - $150,000 a year (Indeed est.)"
754,Software Engineer,Boundless Immigration,"Seattle, WA","$88,000 - $131,000 a year (Indeed est.)"
757,Software Engineer - Developer Platform (Full-Stack),Splunk,"Seattle, WA 98121 (Belltown area)","$99,000 - $142,000 a year (Indeed est.)"
759,"Software Engineer, Visualization Pipeline",Tableau,"Seattle, WA 98107 (Ballard area)","$96,000 - $144,000 a year (Indeed est.)"
763,Software Development Engineer,JP Morgan Chase,"Seattle, WA 98101 (Downtown area)","$106,000 - $159,000 a year (Indeed est.)"
765,Software Engineer,Convoy,"Seattle, WA","$107,000 - $161,000 a year (Indeed est.)"
