,Job Title,Company,Location,Salary
945,IT Summer Intern,Li & Fung,"New York, NY",$15 an hour
956,VR/AR Virtual Reality / Augmented Reality Software Developer,The Glimpse Group,"Manhattan, NY 10018 (Clinton area)","$30,000 - $72,000 a year"
971,Software Developer,Data Axxis,"New York, NY","$110,000 - $120,000 a year"
998,Software Engineer - Publishing,iStreamPlanet,"New York, NY","$93,000 - $140,000 a year (Indeed est.)"
1003,Java Developer,BNY Mellon,"New York, NY",$65 - $70 an hour
1005,Back-End Engineer,Store No. 8,"New York, NY","$109,000 - $165,000 a year (Indeed est.)"
1010,Software Engineer - Backend,"Jibe, Inc.","New York, NY 10014 (West Village area)","$112,000 - $168,000 a year (Indeed est.)"
1011,Senior Software Engineer - Platform,Affirm,"New York, NY","$114,000 - $153,000 a year (Indeed est.)"
1012,Backend Web Engineer,Dashub,"New York, NY","$102,000 - $153,000 a year (Indeed est.)"
1013,"Instagram Software Engineer, Android",Facebook,"New York, NY 10017 (Midtown area)","$88,000 - $132,000 a year (Indeed est.)"
1014,Software Engineer,Gemini,"New York, NY 10011 (Chelsea area)","$124,000 - $186,000 a year (Indeed est.)"
1015,Software Engineer in Test,Fuzz,"Brooklyn, NY","$73,000 - $109,000 a year (Indeed est.)"
1017,ASP.Net Software Engineer,GlobeTax,"New York, NY 10004 (Financial District area)","$96,000 - $134,000 a year (Indeed est.)"
1018,Build Engineer (Software),NS1,"New York, NY","$123,000 - $185,000 a year (Indeed est.)"
1019,User Interface Software Engineer,Analytic Partners,"New York, NY 10017 (Midtown area)","$86,000 - $127,000 a year (Indeed est.)"
1020,Dev Ops Engineer (No C2C),PITech Solutions,"New York, NY 10007 (Financial District area)","$117,000 - $160,000 a year (Indeed est.)"
1021,Software Development Engineers in Test (SDET) Manager,EQUINOX,"New York, NY","$103,000 - $153,000 a year (Indeed est.)"
1027,Software Developer,CloudInfoSol,"Princeton Junction, NJ 08550","$60,000 - $90,000 a year"
1029,"Front End Software Engineer, Heroku",Salesforce,"New York, NY","$102,000 - $151,000 a year (Indeed est.)"
1032,Software Engineer,InfoQuest Consulting Group Inc.,"Monmouth Junction, NJ 08852","$93,000 - $139,000 a year (Indeed est.)"
